nbedsx,tenex,tenure8x,tenure4x,accomhh1,dwtypenx,dwtype8x,dwtype3x,EPceeb12e,EPceib12e,gorehs,mean,std,p25,median,p75
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,F,East,36.75,,36.75,36.75,36.75
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,E,E,North West,39.57,,39.57,39.57,39.57
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,E,E,South East,34.54,,34.54,34.54,34.54
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,E,E,West Midlands,43.38,,43.38,43.38,43.38
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,F,E,Yorkshire and the Humber,46.74,,46.74,46.74,46.74
1.0,own with mortgage,owner occupied - occupied,owner occupied,detached house or bungalow,bungalow,bungalow,house or bungalow,C,D,East,76.85,,76.85,76.85,76.85
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,C,C,London,37.77,,37.77,37.77,37.77
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,C,C,South East,53.78,,53.78,53.78,53.78
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,C,C,South West,54.77,,54.77,54.77,54.77
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,D,D,London,54.730000000000004,7.66503750806217,52.02,54.730000000000004,57.44
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,D,D,South West,60.126666666666665,9.327144972248117,54.865,56.85,63.75
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,E,E,South East,31.92,,31.92,31.92,31.92
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,E,F,North West,49.91,,49.91,49.91,49.91
1.0,own with mortgage,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,F,F,London,42.65,,42.65,42.65,42.65
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,A/B,A/B,London,50.405,1.1101576464628824,50.012499999999996,50.405,50.7975
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,A/B,A/B,South East,72.06,,72.06,72.06,72.06
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,C,A/B,London,41.55,15.18865365988704,36.18,41.55,46.92
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,C,A/B,South West,45.97,,45.97,45.97,45.97
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,C,C,London,49.077999999999996,3.531886181631563,47.4,47.6,48.59
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,D,C,South East,47.31,,47.31,47.31,47.31
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,D,D,London,46.81,17.833233021524727,40.505,46.81,53.115
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,A/B,A/B,East,40.86,,40.86,40.86,40.86
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,A/B,A/B,London,53.36666666666667,8.744440138358392,48.55,51.17,57.085
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,A/B,A/B,South East,47.98166666666666,5.135458759124316,45.7175,49.635,51.0025
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,A/B,East,49.73,,49.73,49.73,49.73
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,A/B,London,50.03,10.974297244015215,46.150000000000006,50.03,53.91
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,A/B,South East,47.74,,47.74,47.74,47.74
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,East,47.44,1.712921480979208,46.485,46.93,48.14
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,East Midlands,61.08,,61.08,61.08,61.08
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,London,49.618,5.555742074646735,48.57,49.73,51.02
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,South East,54.36,12.416795077635776,49.97,54.36,58.75
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,South West,56.02,,56.02,56.02,56.02
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,West Midlands,47.19,,47.19,47.19,47.19
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,London,39.07,,39.07,39.07,39.07
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,South East,42.87,8.968400080281878,39.07,47.37,48.59
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,C,South East,47.47,,47.47,47.47,47.47
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,C,West Midlands,49.68,,49.68,49.68,49.68
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,East,49.92,,49.92,49.92,49.92
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,London,48.403333333333336,11.640327887707175,43.06,50.12,54.605000000000004
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,North West,92.7,,92.7,92.7,92.7
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,South East,52.28,,52.28,52.28,52.28
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,South West,45.11,,45.11,45.11,45.11
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,E,London,42.805,0.9263098833543789,42.4775,42.805,43.1325
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,E,South East,37.41,,37.41,37.41,37.41
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,E,South West,45.254999999999995,16.468516933834696,39.4325,45.254999999999995,51.0775
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,E,E,London,48.65,,48.65,48.65,48.65
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,E,E,West Midlands,39.85,,39.85,39.85,39.85
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,F,E,South East,48.26,,48.26,48.26,48.26
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,F,G,North East,46.27,,46.27,46.27,46.27
1.0,own with mortgage,owner occupied - occupied,owner occupied,semi-detached,bungalow,bungalow,house or bungalow,E,F,South East,59.74,,59.74,59.74,59.74
1.0,own with mortgage,owner occupied - occupied,owner occupied,semi-detached,bungalow,bungalow,house or bungalow,F,E,East,43.53,,43.53,43.53,43.53
1.0,own with mortgage,owner occupied - occupied,owner occupied,terrace/end of terrace,bungalow,bungalow,house or bungalow,D,C,Yorkshire and the Humber,39.07,,39.07,39.07,39.07
1.0,own with mortgage,owner occupied - occupied,owner occupied,terrace/end of terrace,end terrace,small terraced house,house or bungalow,C,C,South West,45.32,,45.32,45.32,45.32
1.0,own with mortgage,owner occupied - occupied,owner occupied,terrace/end of terrace,end terrace,small terraced house,house or bungalow,D,E,North West,46.76,,46.76,46.76,46.76
1.0,own with mortgage,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,D,South East,43.34,,43.34,43.34,43.34
1.0,own with mortgage,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,E,South East,49.5,,49.5,49.5,49.5
1.0,own with mortgage,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,E,Yorkshire and the Humber,55.870000000000005,10.818733752154182,52.045,55.870000000000005,59.695
1.0,privately rent,private rented - occupied,private rented,detached house or bungalow,bungalow,bungalow,house or bungalow,E,G,South West,37.51,,37.51,37.51,37.51
1.0,privately rent,private rented - occupied,private rented,detached house or bungalow,bungalow,bungalow,house or bungalow,G,F,East,45.49,,45.49,45.49,45.49
1.0,privately rent,private rented - occupied,private rented,non self contained,converted flat,converted flat,low rise flat,C,C,London,84.54,,84.54,84.54,84.54
1.0,privately rent,private rented - occupied,private rented,non self contained,converted flat,converted flat,low rise flat,C,C,South East,89.77000000000001,29.72676908108246,79.26,89.77000000000001,100.28
1.0,privately rent,private rented - occupied,private rented,non self contained,detached,detached house,house or bungalow,C,D,South East,184.57,,184.57,184.57,184.57
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,C,C,London,121.41,,121.41,121.41,121.41
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,D,East Midlands,75.78,,75.78,75.78,75.78
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,D,London,126.91333333333334,10.42880785772436,121.015,123.11,130.91
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,D,North West,83.28,,83.28,83.28,83.28
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,D,South West,121.31,27.71858582251267,111.50999999999999,121.31,131.10999999999999
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,D,Yorkshire and the Humber,126.51,,126.51,126.51,126.51
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,E,London,99.24,,99.24,99.24,99.24
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,E,West Midlands,86.33,,86.33,86.33,86.33
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,E,E,South West,119.13,,119.13,119.13,119.13
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,E,E,Yorkshire and the Humber,75.98,,75.98,75.98,75.98
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,F,F,West Midlands,155.72,,155.72,155.72,155.72
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,F,G,East Midlands,120.2,,120.2,120.2,120.2
1.0,privately rent,private rented - occupied,private rented,non self contained,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,E,E,South West,111.93,,111.93,111.93,111.93
1.0,privately rent,private rented - occupied,private rented,non self contained,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,London,59.16,,59.16,59.16,59.16
1.0,privately rent,private rented - occupied,private rented,non self contained,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,London,72.39,,72.39,72.39,72.39
1.0,privately rent,private rented - occupied,private rented,non self contained,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,London,73.22,,73.22,73.22,73.22
1.0,privately rent,private rented - occupied,private rented,other,bungalow,bungalow,house or bungalow,D,D,South East,50.33,,50.33,50.33,50.33
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,high rise flat,C,C,London,22.86,,22.86,22.86,22.86
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,high rise flat,C,D,North West,57.29,,57.29,57.29,57.29
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,A/B,London,51.815,49.13685022465319,34.4425,51.815,69.1875
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,A/B,South East,41.11,,41.11,41.11,41.11
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,C,East Midlands,37.83,,37.83,37.83,37.83
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,C,London,47.815625,12.05959920215704,39.347500000000004,46.85,55.114999999999995
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,C,North West,39.9,5.653821716326048,36.835,38.78,42.405
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,C,South East,47.61555555555556,13.858643612481627,36.48,47.84,54.15
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,C,South West,39.245,4.71433452355685,37.4125,38.69499999999999,40.345
