serialanon,nbedsx,tenex,accomhh1,dwtypenx,dwtype8x,dwtype3x,floorx,floory,EPceeb12e,EPceib12e,gorehs,tenure8x,tenure4x
20220000574.0,2.0,rent from housing association,terrace/end of terrace,bungalow,bungalow,house or bungalow,61.58,63.41,D,D,North East,housing association - occupied,housing association
20220000580.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,100.16,106.52,C,D,North West,owner occupied - occupied,owner occupied
20220000582.0,2.0,own outright,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,61.72,63.36,A/B,C,London,owner occupied - occupied,owner occupied
20220000601.0,4.0,own with mortgage,detached house or bungalow,detached,detached house,house or bungalow,129.16,125.78,C,C,North East,owner occupied - occupied,owner occupied
20220000608.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,95.89,100.61,D,D,North West,owner occupied - occupied,owner occupied
20220000617.0,3.0,own outright,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,78.75,82.95,D,D,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220000621.0,3.0,rent from local authority,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,55.13,59.40,C,C,London,local authority - occupied,local authority
20220000624.0,4.0,own with mortgage,detached house or bungalow,detached,detached house,house or bungalow,130.25,137.82,C,D,South East,owner occupied - occupied,owner occupied
20220000629.0,1.0,rent from local authority,semi-detached,bungalow,bungalow,house or bungalow,41.86,43.10,D,C,East Midlands,local authority - occupied,local authority
20220000631.0,1.0,privately rent,other,converted flat,converted flat,low rise flat,65.36,65.74,D,D,London,private rented - occupied,private rented
20220000638.0,2.0,privately rent,semi-detached,semi detached,semi-detached house,house or bungalow,69.37,73.82,C,D,South East,private rented - occupied,private rented
20220000639.0,1.0,rent from housing association,terrace/end of terrace,bungalow,bungalow,house or bungalow,35.69,37.01,C,C,South West,housing association - occupied,housing association
20220000642.0,2.0,privately rent,terrace/end of terrace,end terrace,small terraced house,house or bungalow,61.90,66.96,D,D,East Midlands,private rented - occupied,private rented
20220000645.0,5 or more,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,230.21,240.87,D,E,North West,owner occupied - occupied,owner occupied
20220000651.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,43.76,44.89,C,C,South East,housing association - occupied,housing association
20220000652.0,3.0,own outright,detached house or bungalow,bungalow,bungalow,house or bungalow,101.92,105.84,C,D,South East,owner occupied - occupied,owner occupied
20220000653.0,3.0,own outright,semi-detached,semi detached,semi-detached house,house or bungalow,94.17,100.63,D,E,South West,owner occupied - occupied,owner occupied
20220000663.0,3.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,145.83,152.62,C,D,South West,owner occupied - occupied,owner occupied
20220000666.0,2.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,64.19,64.15,D,E,Yorkshire and the Humber,housing association - occupied,housing association
20220000686.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,88.34,93.02,D,D,West Midlands,owner occupied - occupied,owner occupied
20220000688.0,5 or more,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,124.84,132.60,D,D,North West,owner occupied - occupied,owner occupied
20220000707.0,1.0,privately rent,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,45.32,48.68,C,C,Yorkshire and the Humber,private rented - occupied,private rented
20220000714.0,3.0,own outright,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,101.23,106.44,D,E,South West,owner occupied - occupied,owner occupied
20220000721.0,4.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,180.13,177.36,C,D,South East,owner occupied - occupied,owner occupied
20220000724.0,4.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,119.21,117.92,C,C,East Midlands,owner occupied - occupied,owner occupied
20220000725.0,3.0,own outright,semi-detached,semi detached,semi-detached house,house or bungalow,123.77,119.36,C,D,North East,owner occupied - occupied,owner occupied
20220000727.0,2.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,71.12,75.42,C,C,West Midlands,owner occupied - occupied,owner occupied
20220000735.0,2.0,own with mortgage,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,43.68,45.37,C,C,North East,owner occupied - occupied,owner occupied
20220000764.0,2.0,privately rent,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,76.45,78.00,C,C,London,private rented - occupied,private rented
20220000777.0,4.0,own with mortgage,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,157.26,162.00,C,C,London,owner occupied - occupied,owner occupied
20220000785.0,2.0,privately rent,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,71.80,74.00,C,D,North West,private rented - occupied,private rented
20220000804.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,65.40,70.16,C,A/B,West Midlands,owner occupied - occupied,owner occupied
20220000805.0,2.0,privately rent,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,51.38,53.32,D,E,East,private rented - occupied,private rented
20220000808.0,4.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,193.32,188.79,D,E,North West,owner occupied - occupied,owner occupied
20220000818.0,1.0,rent from local authority,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,44.98,46.08,C,C,Yorkshire and the Humber,local authority - occupied,local authority
20220000820.0,3.0,own with mortgage,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,76.97,81.78,D,D,South East,owner occupied - occupied,owner occupied
20220000826.0,2.0,rent from local authority,terrace/end of terrace,end terrace,small terraced house,house or bungalow,63.86,68.30,C,C,London,local authority - occupied,local authority
20220000857.0,2.0,privately rent,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,54.09,56.07,C,C,London,private rented - occupied,private rented
20220000859.0,1.0,privately rent,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,43.68,44.80,F,E,London,private rented - occupied,private rented
20220000872.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,72.73,77.54,C,D,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220000880.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,45.57,47.25,C,A/B,South East,housing association - occupied,housing association
20220000885.0,3.0,rent from housing association,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,80.60,85.34,C,D,South East,housing association - occupied,housing association
20220000886.0,2.0,rent from housing association,terrace/end of terrace,bungalow,bungalow,house or bungalow,58.46,60.48,C,C,North East,housing association - occupied,housing association
20220000903.0,4.0,own with mortgage,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,111.20,117.55,C,C,South East,owner occupied - occupied,owner occupied
20220000914.0,1.0,privately rent,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,41.97,40.46,C,C,London,private rented - occupied,private rented
20220000922.0,1.0,privately rent,non self contained,mid terrace,medium/large terraced house,house or bungalow,75.78,81.24,D,D,East Midlands,private rented - occupied,private rented
20220000927.0,1.0,privately rent,other,converted flat,converted flat,low rise flat,23.59,25.12,E,D,East,private rented - occupied,private rented
20220000935.0,3.0,privately rent,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,80.06,85.57,C,D,North West,private rented - occupied,private rented
20220000940.0,3.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,106.08,112.18,C,D,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220000941.0,1.0,rent from housing association,semi-detached,bungalow,bungalow,house or bungalow,39.49,40.76,D,D,North West,housing association - occupied,housing association
20220000945.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,42.67,43.80,C,C,West Midlands,housing association - occupied,housing association
