nbedsx,tenex,tenure8x,tenure4x,accomhh1,dwtypenx,dwtype8x,dwtype3x,EPceeb12e,EPceib12e,gorehs,mean,std,p25,median,p75
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,F,West Midlands,34.02,,34.02,34.02,34.02
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,E,D,South West,51.84,,51.84,51.84,51.84
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,E,E,London,33.0,,33.0,33.0,33.0
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,E,E,South East,41.89,,41.89,41.89,41.89
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,F,E,South East,38.07,,38.07,38.07,38.07
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,F,E,West Midlands,43.68,,43.68,43.68,43.68
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,F,F,North West,56.76,,56.76,56.76,56.76
1.0,own outright,owner occupied - occupied,owner occupied,semi-detached,bungalow,bungalow,house or bungalow,D,D,Yorkshire and the Humber,60.87,,60.87,60.87,60.87
1.0,own outright,owner occupied - occupied,owner occupied,semi-detached,bungalow,bungalow,house or bungalow,E,E,Yorkshire and the Humber,54.07,,54.07,54.07,54.07
1.0,own outright,owner occupied - occupied,owner occupied,semi-detached,semi detached,semi-detached house,house or bungalow,D,F,South East,44.56,,44.56,44.56,44.56
1.0,own outright,owner occupied - occupied,owner occupied,semi-detached,semi detached,semi-detached house,house or bungalow,E,E,North West,56.5,,56.5,56.5,56.5
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,bungalow,bungalow,house or bungalow,D,D,North East,37.97,,37.97,37.97,37.97
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,bungalow,bungalow,house or bungalow,D,E,Yorkshire and the Humber,67.67,,67.67,67.67,67.67
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,bungalow,bungalow,house or bungalow,E,D,South West,53.08,,53.08,53.08,53.08
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,end terrace,small terraced house,house or bungalow,D,D,South East,49.34,,49.34,49.34,49.34
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,end terrace,small terraced house,house or bungalow,F,F,West Midlands,40.34,,40.34,40.34,40.34
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,D,D,South West,78.03,,78.03,78.03,78.03
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,C,C,East,35.9,,35.9,35.9,35.9
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,C,C,South West,44.215,4.673975823643086,42.5625,44.215,45.8675
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,C,C,Yorkshire and the Humber,38.92,,38.92,38.92,38.92
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,D,North West,55.18,,55.18,55.18,55.18
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,D,South East,40.084999999999994,10.45810929374904,36.387499999999996,40.084999999999994,43.7825
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,D,Yorkshire and the Humber,54.245000000000005,4.235569619307419,52.7475,54.245000000000005,55.7425
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,F,East,40.34,,40.34,40.34,40.34
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,E,E,North West,43.1,,43.1,43.1,43.1
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,E,E,South East,38.48,,38.48,38.48,38.48
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,E,E,West Midlands,47.02,,47.02,47.02,47.02
